서명,저자,출판사,출판년
여우별이 뜨던 날,유하정,단비어린이,2023
(여기는 함께섬) 정치를 배웁니다,최승필,천개의바람,2022
(여기는 빠른섬) 미디어를 배웁니다,한화주,천개의바람,2023
(여기는 바로섬) 법을 배웁니다,안소연,천개의바람,2022
(여기는 맑은섬) 환경을 배웁니다,김은의,천개의바람,2022
여기는 따로섬 경제를 배웁니다,원예지,천개의바람,2022
(에이드리언 심콕스는) 말이 없다,"캠벨, 마시",다산기획,2019
에너지도 아껴 써야 한다고?,백나영,리틀씨앤톡,2022
에너지 때문에 전쟁을 한다고?,"슈타인라인, 크리스티나",토토북,2023
엄순대의 막중한 임무 : 정연철 창작동화집,정연철,사계절,2022
엄마는 트롯 가수,류미정,노란돼지,2022
"어서 와, 알마","로드리게스, 모니카",풀빛미디어,2021
(어린이를 위한) 세계 법률 여행 : 자유 평등 정의의 가치를 알려 주는 법 이야기,박홍규,토토북,2023
(웃으며 지구를 지키는) 어린이 에코 시민 가이드,"루소, 엘리즈",북멘토,2022
약속은 꼭꼭 지킬래,이은지,리틀씨앤톡,2023
애정 왕고모의 장례식,"마티외도데, 아녜스",미래아이,2021
암소 실종 사건,"뒤메, 상드라",미래아이,2021
알약밥,김미희,단비어린이,2023
"(알아서 척척, 똑똑한 미래 도시) 꿈의 스마트 시티",최정원,뭉치,2021
"알쏭달쏭 미지의 세계, 뇌",서지원,뭉치,2021
알록달록 목소리 연구소,김주현,노란상상,2022
"안녕, 메타버스 : 이어도를 찾아라",김현정,가문비어린이,2022
"안녕, 과학! : 잠재력을 깨우는 질문 노트","이그노토프스키, 레이철",길벗어린이,2018
악당이 된 녀석들 : 유해 외래종도 할 말은 있다,정설아,다른매듭,2022
"아이작 뉴턴, 운동의 법칙을 밝히다",박주미,천개의바람,2021
아이가 여행 가 : 김태호 동화집,김태호,마루비,2023
아시아엔 다 있다! : 크고 높고 많고 다양한 아시아의 모든 것,조지욱,사계절,2022
아빠의 수정 돌,김진경,문학동네,2010
아빠는 보안관,송방순,가문비어린이,2022
아빠 바다,조경숙,청어람 주니어,2020
아마리와 밤의 형제단,"올스턴, B. B",비룡소,2022
"아리야, 내 마음을 알아줘 : 신배화 창작동화",신배화,별숲,2020
(썩지 않는 플라스틱!) 지구와 인간을 병들게 하는 환경 호르몬,김경우,뭉치,2021
싸움닭 치리,신이림,바람의아이들,2021
(식량 위기에서 인류를 구할) 미래 식량,박열음,뭉치,2021
승아의 걱정 : 김소연 장편동화,김소연,별숲,2020
슬라임 카페에 입장하시겠습니까?,서지연,오늘책,2022
쉿! 어린이가 돈 버는 비법,김선희,살림어린이,2023
"수학 탐정스 . 5 , 할아버지의 진짜 유산은?",조인하,MiraeN·아이세움,2023
수상한 언어의 세계 : 똥으로 말을 한다고?,"햄, 캐서린",토토북,2020
수상한 방송실,박현숙,북멘토,2023
수상한 동물원이 나타났다,최은영,뜨인돌어린이,2021
수상한 교장실,박현숙,북멘토,2023
(소원을 들어주는) 미호네 . 6,이나영,겜툰,2023
(소원을 들어주는) 미호네 . 5,이나영,겜툰,2022
소원 코딱지를 드릴게요,이승민,바우솔,2023
소리 마녀,신은영,단비어린이,2023
소똥구리가 배고프대요,김남길,바우솔,2021
세종 대왕이 뿔났다 : 애민 정신에서 찾은 한글 탄생의 비밀,김영숙,토토북,2021
"세종 대왕, 바른 소리를 만들다",정수희,천개의바람,2022
(세상을 바꾼) 여성 과학자 50 : 두려움 없이 자신의 꿈을 향해 나아가다!,"이그노토프스키, 레이철",길벗어린이,2018
세균과 바이러스 꼼짝마! 약과 백신,백은영,뭉치,2021
"세계의 시장, 놀라운 발견이 가득한 곳","수카라츠, 호셉",키다리,2021
세계를 한눈에 왁실덕실 나라 축제,마츠모토 리에코,천개의바람,2021
세계를 한눈에 아롱다롱 민족의상,마츠모토 리에코,천개의바람,2021
"세계를 한눈에, 각양각색 세계 음식","리에코, 마츠모토",천개의바람,2022
세계를 사로잡은 문화 콘텐츠 한류,권동화,뭉치,2021
세계 음식 여행 : 식탁에서 만나는 맛있는 인문학,박찬일,토토북,2022
설아가 달라진 이유 : 최은영 장편동화,최은영,별숲,2020
"(설민석의) 세계사 대모험 . 16 , 몽골 편 - 위대한 제국",설민석,단꿈아이,2023
"(설민석의) 세계사 대모험 . 15 , 몽골 편 - 칭기즈 칸의 꿈",설민석,단꿈아이,2022
"(설민석의) 그리스 로마 신화 대모험 . 3 , 신들의 왕 제우스",설민석,단꿈아이,2023
섣달그믐의 쫄깃한 밤,김원아,주니어김영사,2022
선행왕 따라잡기 프로젝트,김가을,가문비어린이,2022
서울 방귀쟁이 시골 방귀쟁이,임정자,별숲,2022
(생태계의 파괴자?) 외래 동식물,서지원,뭉치,2022
"생각이 크는 인문학 . 24 , 의료",조동찬,을파소,2023
"생각이 크는 인문학 . 23 , 동물원",장성익,을파소,2023
"생각이 크는 인문학 . 22 , 스포츠",공규택,을파소,2022
"생각이 크는 인문학 . 21 , 조리",김종덕,을파소,2023
(생각이 반짝! 발명이 뚝딱!) 인류를 바꾼 도구이야기,황근기,뭉치,2023
(생각 쫌 하는 김토끼 씨의) 초등 맞춤법 수업,지수,북멘토,2022
새빨간 입술 젤리,이나영,뜨인돌어린이,2023
(상상 초월) 식물 능력 도감,이시이 히데오,웅진주니어,2023
(살아 있는) 백두산,박은오,뭉치,2021
사라질 아이,이경순,마루비,2022
사라진 조우관 : 정명섭 장편동화,정명섭,사계절,2021
사계절 생태 캠핑 : 자연은 또 다른 학교,권오준,천개의바람,2022
빨간 우산 : 조영서 장편동화,조영서,별숲,2019
빨간 여우 : 김기정 단편동화집,김기정,별숲,2020
빡빡머리 천백지용,백은하,꿈터,2022
빛나는 밤의 세계,"회베리, 레나",웅진주니어,2022
빙하섬을 지켜 주세요,이새미,파란정원,2021
비호감으로 오해받고 있습니다,"코리건, 소피",웅진주니어,2021
비어트리스의 예언,"디카밀로, 케이트",비룡소,2022
"비밀요원 레너드 . 15 , UFO가 나타났다!",박설연,아울북,2023
(Britannica) 나사와 첨단 우주 과학,봄봄 스토리,Mirae N 아이세움,2022
불귀신 잡는 날,신은경,북멘토,2021
"봉주르, 장 발장 : 이미례 창작 동화",이미례,현북스,2022
(봄? 가을? 경계가 모호해지는) 사계절,조인경,뭉치,2022
보리밭 두 동무,임어진,문학동네,2015
별똥 맛의 비밀 : 은이결 장편동화,은이결,별숲,2021
변치 않는 친구 반려동물,최정원,뭉치,2020
변신 오방장군,신동숙,가문비어린이,2022
베프 전쟁,서석영,바우솔,2022
법 따라 나이 따라 : 나이에 따른 법적 권리와 의무,이순혁,사계절,2023
방탄 기사단과 책벌레,김현태,가문비어린이,2022
발표 안 하면 안 될까,이현주,리틀씨앤톡,2021
반려동물도 우리 가족이야,김주희,리틀씨앤톡,2023
바이러스를 막아라 : 노경실 창작동화,노경실,별숲,2021
바보꽃,유진,단비어린이,2022
바람에 날아간 호랑이,최혜진,리젬,2015
(바글바글 와글와글) 작지만 강한 미생물,백은영,뭉치,2023
(민쩌미의) 쩜그레 . 2,민쩌미,겜툰,2023
(민쩌미의) 쩜그레 . 1,민쩌미,겜툰,2023
미스터리 클럽,김태호,단비어린이,2022
(오늘도 나쁨! 작아서 더 무서운) 미세 먼지,이화영,뭉치,2021
(미래를 살아갈 어린이들이 꼭 알아야 할) 민주주의와 선거,천윤정,팜파스,2023
뭐든 뚝딱 금손 반지,송승주,천개의바람,2023
뭉치자! 통일소년단,조소정,단비어린이,2022
무적의 더위 사냥꾼,"마루아, 앙드레",미래아이,2022
명탐견 오드리 추리는 코끝에서부터 : 정은숙 창작동화,정은숙,사계절,2022
명탐견 오드리 수사는 발끝에서부터 : 정은숙 창작동화,정은숙,사계절,2022
메피스토,루리,비룡소,2023
Why? 메타버스,최재훈,예림당,2022
메뚜기 악플러,한영미,산하,2023
먹기 싫은 건 안 먹을래,김영주,리틀씨앤톡,2022
"맨큐의 주니어 경제클럽 . 2 , 합리적 판단","맨큐, 그레고리 N",이러닝코리아,2023
(매직 돋보기) 탈것이 궁금해,"헤드, 아너",키다리,2022
(매직 돋보기) 동물 집이 궁금해,"베오예, 카밀라 드 라",키다리,2022
매일매일 내 생일,김지영,주니어김영사,2022
말풍선 대소동,한수언,단비어린이,2022
"(만화) 한국 신화 . 1 , 신의 아들 단군",박정효,다산어린이,2023
마침내 우리,원유순,단비어린이,2023
마천루 빌딩 네거리에 슈퍼 히어로가 나타났다,김미숙,우리교육,2023
마지막 가족 여행 : 이창숙 장편동화,이창숙,별숲,2019
"마인드 스쿨 : 우리 몸을 소중히 짠! 지켜 주는 책 . 19 , 내 몸은 내가 지킨다",이혜림,고릴라박스,2022
"마인드 스쿨 : 꿈 찾는 방법을 쏙! 알게 되는 책 . 18 , 진짜 내 꿈은 뭘까?",김정미,고릴라박스,2022
마음을 입력할 수는 없나요 : 4차 산업 혁명 시대와 아이들,임어진,현북스,2022
(마음을 사로잡는) 동물의 색 : 동물의 색과 무늬는 어떤 역할을 할까?,"아드, 캐스",키다리,2022
마스크 요정과 꼬마꽃벌,정범종,문학동네,2022
"(손오공의 한자 대탐험) 마법천자문 . 58 , 온 정성과 힘을 다한다! 최선 (最善)",유대영,아울북,2023
"(손오공의 한자 대탐험) 마법천자문 . 39 , 전해라! 전할 전(傳)",올댓스토리,아울북,2023
"(손오공의 한자 대탐험) 마법천자문 . 21 , 하나가 되는 마음! 마음 심",김현수,아울북,2023
마법의 파란 모자 : 전광섭 장편동화,전광섭,별숲,2022
마법 식탁,유타루,뜨인돌어린이,2022
마녀 빵집,강이윤슬,꿈터,2022
리언 이야기 : 사람이 사람답게 살지 못한 시간,"틸리지, 리언 월터",바람의아이들,2022
"레이첼 카슨, 침묵의 봄을 깨우다",강성은,천개의바람,2022
람 선생님과 도토리 약국,윤선아,바람의아이들,2021
ㄹ먹는 하마,이나영,꿈터,2022
뚱딴지같은 내 마음 왜 이럴까? : 어린이가 처음 만나는 심리학,"와라번, 에스더",토토북,2017
똥이 싫은 쇠똥구리,이연숙,가문비어린이,2022
똥손 금손 체인지,백혜진,별숲,2023
"똥 공장, 테마파크 되다!","바슬레르, 마랴",길벗어린이,2021
또박또박 말할래,백나영,리틀씨앤톡,2022
딱 한마디 세계사 : 세계 역사를 움직인 말,예영,천개의바람,2022
딱 한마디 미술사 : 새로움을 꿈꾼 화가의 말,안소연,천개의바람,2022
"디지털 미래의 어두운 그림자, 전자 쓰레기 이야기",김지현,팜파스,2022
들썩들썩 우르르 쾅! 우리를 위협하는 자연재연,정영훈,뭉치,2021
(두근두근 신비한) 우리 몸속 탐험,이여니,뭉치,2020
동물들의 머릿속,"도제, 플뢰르",바람의아이들,2023
동단비 옆 동바람,이정아,문학동네,2021
동굴 괴물,정현수,가문비어린이,2023
돈 잔치 소동,송언,문학동네,2021
돈돈 왕국의 비밀,김바다,단비어린이,2023
"도와줘요, 레스큐맨! : 송은혜 창작 동화",송은혜,현북스,2022
도깨비와 메밀묵,박상재,단비어린이,2022
도깨비 저택의 상속자,서은혜,북멘토,2021
도깨비 저택과 탈탈귀,서은혜,북멘토,2021
더러운 게 어때서?,박비소리,리틀씨앤톡,2021
"(더 멀리, 더 빠르게!) 미래 교통과 통신",신선웅,뭉치,2023
달에서 아침을 = Breakfast On The Moon,이수연,위즈덤하우스,2022
(달라도 괜찮아) 더불어 사는 다문화 사회,스토리베리,뭉치,2018
늦잠 나라 백성들은 어떻게 일찍 일어나게 되었나?,이경혜,바람의아이들,2019
느티나무에 부는 바람,박지숙,단비어린이,2023
"놓지 마 과학! . 10 , 정신이 동물에 정신 놓다",신태훈,위즈덤하우스,2023
놀라운 날씨 : 팝업북으로 만나는 생생한 날씨,"비더슈테트, 마이케",키다리,2022
놀 때도 안전이 필요해!,김주희,리틀씨앤톡,2022
네가 오니 좋구나!,유영소,문학과지성사,2022
넌 내가 안 보이니?,"쿠폰스, 자우마",푸른숲주니어,2022
너와 내가 괴물이 되는 순간,조은경,뜨인돌어린이,2021
냥 작가의 일기 상담소,즐비,파란정원,2022
냥 작가의 독서록 상담소,즐비,파란정원,2022
내가 털곰팡이 바이러스라고?,김경숙,노란돼지,2022
내가 제일 무섭지,이승아,노란상상,2022
내가 왜요?,장세련,단비어린이,2022
내 친구의 집 : 우미옥 창작동화집,우미옥,사계절,2021
내 용돈은 내 마음대로 쓸 거야,김은영,리틀씨앤톡,2023
내 발바닥 곰 발바닥,김현경,가문비어린이,2022
내 물건은 내가 챙겨야 한다고?,임선경,리틀씨앤톡,2022
내 머리에는 딱따구리가 산다 : 신윤화 동화집,신윤화,마루비,2022
남원성의 눈물,이규희,바우솔,2021
"남극곰 . 2 , 노아의 방주를 막아라",김남중,문학동네,2023
"남극곰 . 1 , 북극 열차와 마지막 탐험대원",김남중,문학동네,2023
날아라! 팝콘치킨맨,김현태,가문비어린이,2022
날아라 삼겹살 : 배봉기 창작동화,배봉기,별숲,2015
나의 첫 번째 요리책,"애서턴, 데이비드",북극곰,2022
"나와 똑같은 또 다른 나, 인간 복제",김승태,뭉치,2021
나무가 된 아이 : 남유하 창작동화집,남유하,사계절,2022
나랑 기억 바꿀래?,신은영,마루비,2022
나도 잘하는 게 있을까?,박영주,리틀씨앤톡,2022
나도 난민이 될 수 있다고요?,"탁실, 베랑제르",개암나무,2020
나는 혼자가 더 편해,박윤경,리틀씨앤톡,2022
나는 진정한 열 살,배지영,주니어김영사,2023
나는 마음대로 나지,강인송,주니어김영사,2022
꽃방귀 : 신양진 창작동화,신양진,별숲,2019
꼴통과 불량 아저씨,최은순,뜨인돌어린이,2022
꼭 가요 꼬끼오,서정오,문학동네,2007
(꼬리에 꼬리를 무는) 만 냥짜리 이야기,서정오,별숲,2016
깊이깊이 바닷속으로 해저 탐험 : 바닷속 세상에서는 무슨 일이 벌어질까?,"길랑, 샤를로트",키다리,2022
"기후 위기 시대, 어린이를 위한 기후 난민 이야기",박선희,팜파스,2022
기차 타고 세계 여행 : 여러 나라의 흥미진진한 철도 이야기,"애덤스, 너새니얼",북극곰,2022
기억을 지워 주는 문방구,조규미,살림어린이,2022
금시계 : 루쉰이 뽑은 러시아 동화,"판텔레예프, 레오니트",현북스,2023
(그림으로 보는) 창가의 토토,구로야나기 테츠코,주니어김영사,2021
그림 그리는 토끼,"프리엠, 시몽",푸른숲주니어,2022
"그리스 로마 신화 : 만화로 읽는 초등 인문학 . 33 , 로마 건국을 향한 발걸음",박시연,아울북,2023
그래도 넌 내 친구!,"월턴, 제시카",여유당,2022
귀신 친구 하나 사귈래요?,이경혜,바우솔,2021
(Good bye) 코드네임 . 10 = (Good bye) Code name,강경수,시공주니어,2023
굿 하는 날,안덕자,봄봄,2022
굳세고 울창하고 우뚝 솟은 나무 이야기,"볼란트, 아이리스",웅진주니어,2020
괭이부리말 아이들,김중미,창비,2022
"(과학탐험대) 신기한 스쿨버스 . 13 , 꼭꼭 숨어라! 위장 동물 찾기","브룩, 서맨사",비룡소,2023
"(과학탐험대) 신기한 스쿨버스 . 12 , 최강 변신왕, 암석맨","브룩, 서맨사",비룡소,2023
"(과학탐험대) 신기한 스쿨버스 . 11 , 야호, 눈 속을 탐험하자!","콜, 조애너",비룡소,2021
"과학 탐정스 : 기발한 과학 추리 동화 . 3 , 괴도 퀴즈를 잡아라!",조인하,MiraeN·아이세움,2022
"과학 탐정스 : 기발한 과학 추리 동화 . 1 , 신비도의 비밀",조인하,MiraeN·아이세움,2022
공룡은 축구를 하지 않는다 : 안정희 창작 동화,안정희,현북스,2022
고양이 행진곡,전은희,단비어린이,2022
"고구마 탐정 수학 . 2 , 음악가 동장군의 비밀",서지원,스푼북,2022
"(경제를 아는 어린이로 이끌어 주는) 주식과 투자 이야기 : 동화로 보는 주식과 투자, 경제에 관한 모든 것!",김다해,팜파스,2022
(게임? 논리? 창의?) 문제 해결력을 키우는 코딩,윤정,뭉치,2021
거짓말이 툭 튀어나왔어,김은영,리틀씨앤톡,2022
거꾸로 상상하면 거꾸로,공수경,노란돼지,2023
강아지 왈츠,김나월,가문비어린이,2022
감자가 싫은 날,지혜진,바람의아이들,2022
가족 : 함께 살 사람을 고를 수 있다면,서보현,우리학교,2022
간송미술관에는 어떤 보물이 있을까? : 전형필 선생님이 지킨 위대한 우리 유산,김민규,토토북,2021
Why? 지구의 재앙,최재훈,예림당,2022
Why? 악기와 소리,파피루스,예림당,2021
Why? sports 프로게이머,최재훈,예림당,2022
Why? sports 축구,윤상석,예림당,2023
Why? 미세먼지,전윤경,예림당,2021
Why? 기생충,전윤경,예림당,2022
Why? K-POP,방콕고양이,예림당,2021
"SCP와 괴물도감 . 4 , 백룸",이준하,소담주니어,2023
"(Go Go) 카카오프렌즈 : 자연탐사 . 3 , 갈라파고스 제도",조주희,아울북,2023
AI 디케,노수미,마루비,2022
1학년 1반 여왕님,이토 미쿠,주니어김영사,2022
10살 사장님의 방학 숙제 대행 주식회사,조연화,가문비어린이,2023
100 인생 그림책,"팔러, 하이케",사계절,2022
호텔맨 울프레드,"블랜드, 닉",길벗어린이,2023
헤이즐의 봄 여름 가을 겨울,"월, 피비",보물창고,2023
행복해요,이정원,걸음동무,2022
해님 달님 ㄱㄴㄷ,한태희,봄봄,2023
함박눈이 왔어요,"브루너, 딕",비룡소,2018
할아버지와 할머니,"브루너, 딕",비룡소,2018
할머니의 이불장,양선하,키다리,2022
할머니를 위한 완벽한 선물,"스미스, 레인",바람의아이들,2022
하필이면,오은영,느림보,2021
하얀 비행,박선정,노란상상,2022
하늘을 난 미피,"브루너, 딕",비룡소,2018
하늘 가득한 노래,"도일, 루스",봄봄,2021
피아노 치는 곰 : 혼자 또 같이 있고 싶은 날,"베이르캄프, 마르크",밝은미래,2023
"퓨처 지니어스 . 7 , 우주에 대한 101가지 궁금증","파소스, 카를로스",넥서스주니어,2022
"퓨처 지니어스 . 6 , 바이러스와 백신","파소스, 카를로스",넥서스주니어,2022
"퓨처 지니어스 . 5 , AI로봇공학","파소스, 카를로스",넥서스주니어,2021
풀피리 엄마 보파,김충근,걸음동무,2022
풀피리 소년 가일,김충근,걸음동무,2022
풀피리 강아지 풀멍,김충근,걸음동무,2022
폴라 익스프레스,"알스버그, 크리스 반",비룡소,2022
"판다야, 판다야, 무얼 바라보니?","마틴 주니어, 빌",시공주니어,2022
파티를 열어요,"브루너, 딕",비룡소,2019
파란 벽,지혜림,현북스,2022
텃밭에서 놀아요 : 텃밭 살림과 텃밭 작물,보리,보리,2023
탑의 노래,명수정,글로연,2022
코르넬리우스,"리오니, 레오",시공주니어,2022
(친구를 찾는) 회색 연기,이미성,밝은미래,2022
친구 집에 갔어요,"브루너, 딕",비룡소,2019
"천천히 해, 미켈레","레비, 엘레나",여유당,2022
책방 고양이 = The Bookstore Cat,이시카와 에리코,여유당,2023
찾습니다,"미르작, 알렉산드라",밝은미래,2022
집 : 우리 이야기가 시작되는 곳,"헤가티, 퍼트리샤",봄봄,2022
"잘 자라, 고릴라","라스만, 페기",비룡소,2023
작은 조각 페체티노 : 레오 리오니 그림책,"리오니, 레오",보림,2023
작은 민들레씨 포포와 이끼 친구들,나카야 미와,웅진주니어,2023
작고 푸른 점,"스워더, 지노",밝은미래,2022
작가,"칼리, 다비드",나무말미,2021
자연이 우리에게 손짓해!,"언더우드, 데보라",다산기획,2023
"일 년에 하루, 밤에 피는 꽃","호손, 라라",웅진주니어,2019
이렇게 접어요,"흐미엘레프스카, 이보나",논장,2022
은근히 이상하고 신비한 멸종동물,"반피, 크리스티나",보랏빛소어린이,2021
유치원에 간 미피,"브루너, 딕",비룡소,2018
유령 가족과 기울어진 탑,박연철,미래아이,2022
우리는 언제나 너를 믿어,"페리, 베스",나무말미,2022
우리 셋,바루,여유당,2023
올빼미 기사,"데니스, 크리스토퍼",비룡소,2023
"오드리 헵번 이야기 : 나의 어머니, 오드리를 기억하며","헵번, 션",브와포레,2022
오늘은 네 차례야,"바넷, 맥",보물창고,2023
열한 명의 오케스트라,"브루너, 딕",비룡소,2019
엄청나게 커다란 소원,"브라운, 앤서니",웅진주니어,2022
엄마의 주머니는 엉망이에요,"하나오, 지기",보림,2023
엄마 아빠를 화나게 하는 완벽한 방법,"발린, 가브리엘라",나무말미,2022
어떤 가구가 필요하세요?,이수연,리잼,2020
어떡하지? 걱정 : 우리 아이 마음 그림책,"치치오, 애덤",책과콩나무,2022
"야, 발자국이다 : 우리 산짐승 발자국과 똥",보리,보리,2022
안전하게 걸어요,"브루너, 딕",비룡소,2019
"안녕, 마음아",표영민,걸음동무,2022
아주아주 바쁜 거미,"칼, 에릭",시공주니어,2022
"아빠, 잘 있어요?",하세가와 요시후미,천개의바람,2022
"아빠, 사랑은 몇 개예요? : 삶에 대한 생각이 커지는 질문","볼만, 자비네",책과콩나무,2023
아빠 해마 이야기,"칼, 에릭",시공주니어,2022
아빠 어디까지 왔어?,남궁선,느림보,2020
(아기 돌고래 상괭이의) 우리 바다 여행 : 우리 바다에 사는 바다 동물,보리,보리,2023
"아기 곰아, 아기 곰아, 무얼 바라보니?","마틴 주니어, 빌",시공주니어,2022
아기 거북,표영민,걸음동무,2022
아그작 아그작 쪽 쪽 쪽 츠빗 츠빗 츠빗 : 텃밭 시 그림책,유현미,논장,2023
심술궂은 무당벌레,"칼, 에릭",시공주니어,2022
시간이 멈춘 날,"굿하트, 피파",국민서관,2023
슈퍼토끼,"블레이크, 스테파니",한울림어린이,2021
숲이 생겼어요,베짱이,걸음동무,2022
숲의 요괴,"치카, 카르멘",밝은미래,2021
쇼핑은 선택이야 : 지구맨이 우리에게 가르쳐 준 것,후지와라 히로노부,웅진주니어,2021
솜사탕 낚시,박현종,종이종,2021
"손 씻어요, 미스터 판다","앤터니, 스티브",을파소,2022
소원들,"반, 므언 티",보물창고,2023
소원,박혜선,발견,2022
세상의 많고 많은 빨강,"시커, 로라 바카로",다산기획,2021
세상은 무슨 색일까요?,"길, 밥",브와포레,2023
선생님을 울리는 방법,나윤아,작가의탄생,2020
"샐리, 오늘은 펭귄이 되어 볼까? : 공존",라인프렌즈,을파소,2021
"샐리, 오늘은 토끼가 되어 볼까? : 공감",라인프렌즈,을파소,2021
"샐리, 오늘은 돼지가 되어 볼까? : 협동",라인프렌즈,을파소,2021
"샐리, 오늘은 닭이 되어 볼까? : 자신감",라인프렌즈,을파소,2021
"샐리, 오늘은 공룡이 되어 볼까? : 포용",라인프렌즈,을파소,2021
새와 빙산,차오원쉬엔,한솔수북,2022
사탕을 훔쳤어요,"브루너, 딕",비룡소,2018
사자마트,김유,천개의바람,2023
사랑하는 할머니,"브루너, 딕",비룡소,2019
사랑하는 당신,고은경,곰세마리,2021
사랑이 뭘까?,박은정,개암나무,2022
사과의 모험,"브루너, 딕",비룡소,2018
(뿌웅~) 보리 방귀 : 보리 농사와 맛좋은 보리밥,보리,보리,2022
빵도둑과 수상한 프랑스빵,시바타 케이코,길벗어린이,2023
빅 하이파이브,지한나,현북스,2022
비빔밥 꽃 피었다,김황,웅진주니어,2022
비밀이 들려요,"마투라나, 안드레아",바람의아이들,2022
비밀의 정원,이루리,북극곰,2022
"북극곰아, 북극곰아, 무슨 소리가 들리니?","마틴 주니어, 빌",시공주니어,2022
부릉부릉 누구 생일?,김정희,사계절,2022
봄이와 제비꽃,에토,웅진주니어,2023
봄의 초대,나현정,글로연,2022
봄마다 축제,"케이, 카멜리아",웅진주니어,2023
보름달 약국,이호랑,느림보,2022
벼가 자란다 : 논농사와 벼의 한살이,보리,보리,2022
벅스 ABC,난주,고래뱃속,2023
밤 산책,이현지,노란상상,2023
반짝반짝 모두 다른 눈 코 입,"박스, 피피",책과콩나무,2022
바스카 바스카,이민희,느림보,2022
바람이 따듯해 : 안효림 그림책,안효림,웅진주니어,2023
"바람아, 너 이름이 뭐니?",이주영,현북스,2022
바닷가에 간 미피,"브루너, 딕",비룡소,2018
미피의 특별한 생활,"브루너, 딕",비룡소,2018
미피의 텐트,"브루너, 딕",비룡소,2019
미피의 텃밭,"브루너, 딕",비룡소,2019
미피의 집,"브루너, 딕",비룡소,2018
미피의 유령 놀이,"브루너, 딕",비룡소,2019
미피의 꿈나라,"브루너, 딕",비룡소,2018
미피와 자전거,"브루너, 딕",비룡소,2019
미피와 멜라니,"브루너, 딕",비룡소,2019
미피와 놀이공원,"브루너, 딕",비룡소,2018
미피랑 춤춰요,"브루너, 딕",비룡소,2019
미피가 울어요,"브루너, 딕",비룡소,2019
미피가 아파요,"브루너, 딕",비룡소,2018
미안해요,임은경,걸음동무,2022
문 밖에 사자가 있다,윤아해,뜨인돌어린이,2023
무지개 물고기와 이야기꾼,"피스터, 마르쿠스",시공주니어,2022
무슨 일이 일어날지도 몰라!,"카치아푸오티, 아우로라",국민서관,2022
모든 것의 박물관,"퍼킨스, 린 레이",보물창고,2022
모두 소중해,"칼리오, 리사",뜨인돌어린이,2022
"매미 씨, 드디어 오늘 밤입니다",구도 노리코,천개의바람,2022
마법의 문을 지나면,"에르메이단, 메리엠",책과콩나무,2022
들나물 하러 가자 : 들에서 나는 맛있는 나물,보리,보리,2022
뒤죽박죽 카멜레온,"칼, 에릭",시공주니어,2022
동생이 태어났어요,"브루너, 딕",비룡소,2019
동물원에 간 미피,"브루너, 딕",비룡소,2018
동동이와 원더마우스 : 조승혜 그림책,조승혜,북극곰,2023
동갑,길상효,웅진주니어,2023
돈은 어디에서 오는 걸까?,"고지, 미우라",뜨인돌어린이,2023
돈은 돌고 돌아 돈이래요,이정원,봄봄,2022
도토리는 다 먹어 : 우리 산의 참나무와 도토리,보리,보리,2022
도둑이 된 첫날,리우쉬공,봄봄,2022
"(대지의 아이,) 노드",박지현,현북스,2022
달토끼 : 최영아 그림책,최영아,북극곰,2023
달리다 보면 : 김지안 그림책,김지안,웅진주니어,2023
달그락 탕 : 이영림 그림책,이영림,웅진주니어,2023
다육이와 꼬마 정원,김현화,밝은미래,2022
다 콩이야 : 맛있는 콩 이야기,보리,보리,2021
느티나무의 기억,소연,노란상상,2023
누구나 연주회,박현종,종이종,2021
누구 잘못일까?,"칼리, 다비드",나무말미,2023
누구 알일까요,"브루너, 딕",비룡소,2018
노란 새의 친구,"브루너, 딕",비룡소,2019
"너는 내 친구야, 왜냐하면","야콥스, 귄터",나무말미,2023
내가 일찍 일어났을 때,"피쉬맨, 세스",보물창고,2023
내가 만일 나무라면,"아빌라, 필라르 로페즈",뜨인돌어린이,2023
내가 만약 나비라면,"하우트, 미스 반",보림,2022
내 차를 운전하기 위해서는,채인선,논장,2021
내 이름은… 라울,"빌뇌브, 앙젤리크",나무말미,2022
내 옷으로 만든 특별한 이야기,"패슐리, 수- 엘렌",다산기획,2021
내 사탕 어디 갔어? : 김릴리 그림책,김릴리,위즈덤하우스,2022
난로 앞에서,스즈키 마모루,여유당,2022
난 커서 어른이 되면 말이야,"칼리, 다비드",나무말미,2022
난 잃어버린 개가 아니야,"굴리, 카셸",국민서관,2022
"나의 이야기, 알마","마르티네즈-닐, 후아나",다산기획,2019
나의 나무,임양희,보물창고,2023
나에게는 곰이 있어요,"욜런, 제인",다산기획,2021
나비야 다 모여! : 석철원 그림책,석철원,여유당,2023
나무와 새,"뒤프렌, 마일리",여유당,2023
나무늘보니까,무라카미 히토미,뜨인돌어린이,2021
나를 괴롭히는 아이가 있어요,"자보, 아멜리",책읽는곰,2023
나도 용기 내 볼까?,"알렉산더, 클레어",국민서관,2023
나 혼자 갈래,"보즐라드, 아나이스",바람의아이들,2023
"꼭꼭 숨어라 콩이, 치타 보일라!",최은진,뜨인돌어린이,2023
기울어진 탑과 유령 가족,박연철,미래아이,2022
기억 상자 : 애도에 관한 책,"롤랜드, 조애너",보물창고,2023
(기니피그) 차모와 뭉치들,나카야 미와,웅진주니어,2022
긁적긁적,손영목,담푸스,2022
